Year,Genre,Publisher,Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,value,Name,Rank
2000,Action,Activision,PS,1.7,1.25,0.02,0.16,3.13,Spider-Man,242
2002,Action,Activision,PS,2.71,1.51,0.03,0.23,4.48,Spider-Man: The Movie,391
2003,Action,Activision,PS,1.89,1.05,0.02,0.31,3.27,True Crime: Streets of LA,412
2004,Action,Activision,PS,1.75,1.2,0.02,0.43,3.41,Spider-Man 2,442
2008,Action,Activision,X360,2.4,1.03,0,0.36,3.78,LEGO Indiana Jones: The Original Adventures,325
2008,Action,Activision,X360,1.91,0.84,0,0.29,3.05,Kung Fu Panda,459
2000,Action,Atari,PS,2.36,2.1,0.02,0.25,4.73,Driver 2,224
2003,Action,Atari,PS,1.78,1.12,0.09,0.19,3.18,Enter the Matrix,429
2015,Action,Capcom,DS,0.25,0.19,2.78,0.04,3.26,Monster Hunter X,415
2001,Action,Capcom,PS,1.36,0.86,0.64,0.13,2.99,Devil May Cry,197
2005,Action,Capcom,PS,2.08,0.83,0.46,0.25,3.62,Resident Evil 4,351
2009,Action,Capcom,PS,1.96,1.43,1.08,0.65,5.11,Resident Evil 5,476
2009,Action,Capcom,X360,2.11,0.94,0.12,0.34,3.51,Resident Evil 5,372
1996,Action,Eidos Interactive,PS,2.29,1.97,0.13,0.24,4.63,Tomb Raider,179
1997,Action,Eidos Interactive,PS,2.3,2.46,0.2,0.28,5.24,Tomb Raider II,230
1997,Action,Eidos Interactive,PS,1.66,1.58,0.12,0.18,3.54,Tomb Raider III: Adventures of Lara Croft,263
1999,Action,Eidos Interactive,PS,1.3,0.77,1.54,0.11,3.72,Resident Evil 3: Nemesis,333
2002,Action,Eidos Interactive,PS,1.36,1.15,0.04,0.41,2.96,Hitman 2: Silent Assassin,363
2005,Action,Eidos Interactive,PS,1.98,1.14,0.01,0.41,3.53,LEGO Star Wars: The Video Game,365
2009,Action,Eidos Interactive,PS,2.23,1.34,0.07,0.61,4.25,Batman: Arkham Asylum,483
2009,Action,Eidos Interactive,X360,2.2,0.97,0.02,0.31,3.5,Batman: Arkham Asylum,376
2001,Action,Electronic Arts,PS,1.37,2,0.14,0.22,3.73,Harry Potter and the Sorcerer's Stone,83
2002,Action,Electronic Arts,PS,1.94,1.95,0.08,0.7,4.67,The Lord of the Rings: The Two Towers,228
2003,Action,Electronic Arts,PS,1.5,1.28,0.05,0.46,3.28,The Lord of the Rings: The Return of the King,331
2012,Action,Electronic Arts,PS,1.06,5.05,0.13,2.01,8.24,FIFA Soccer 13,409
2012,Action,Electronic Arts,X360,1.08,3.48,0.03,0.58,5.18,FIFA Soccer 13,186
1999,Action,GT Interactive,PS,3.11,2.8,0.02,0.33,6.27,Driver,139
1997,Action,Hasbro Interactive,PS,3.79,0.27,0,0.11,4.16,Frogger,279
1998,Action,Konami Digital Entertainment,PS,3.18,1.83,0.78,0.24,6.03,Metal Gear Solid,143
2001,Action,Konami Digital Entertainment,PS,2.45,2.01,0.87,0.72,6.05,Metal Gear Solid 2: Sons of Liberty,145
2004,Action,Konami Digital Entertainment,PS,1.46,0,0.83,1.93,4.23,Metal Gear Solid 3: Snake Eater,146
2008,Action,Konami Digital Entertainment,PS,2.63,1.74,0.83,0.83,6.03,Metal Gear Solid 4: Guns of the Patriots,266
2015,Action,Konami Digital Entertainment,PS,1.08,1.35,0.48,0.47,3.38,Metal Gear Solid V: The Phantom Pain,396
2007,Action,LucasArts,DS,2.89,1.54,0,0.46,4.9,LEGO Star Wars: The Complete Saga,213
2005,Action,LucasArts,PS,1.47,1.39,0.03,0.43,3.32,Star Wars Episode III: Revenge of the Sith,407
2007,Action,LucasArts,Wii,3.66,1.63,0,0.53,5.83,LEGO Star Wars: The Complete Saga,151
